trace_id,family_id_group,ploidy,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
20250826 plate1 B05,hnry,triploid,corrected_fc,0,1.194511539878074,1.194511539878074,0,4,0,3.652688107177203,1.402241757969694,2.2504463492075093,0.8482045912378153,1.6048918358171924,0.8918689276533498,0.8918689276533498,0.5,0.05169379092594606,3.5,1.5,1.194511539878074,1.194511539878074,0,0,1,0.5757086260925509,monotonic_increase,5
20250826 plate1 B06,hnry,diploid,corrected_fc,0,1.2697762522414064,1.2933632593723166,0,3,0,3.7252306477586536,1.2817059341361756,2.4435247136224776,1.161818779486302,1.9064628231352667,0.7664326060067176,0.7664326060067176,0.5,-0.02358700713091011,3.5,1.5,1.2933632593723166,1.2697762522414064,0.02358700713091011,0.01823695466837147,0.9817630453316285,0.6101673900321128,rise_then_depress,5
20250826 plate1 B07,hnry,triploid,corrected_fc,0,1.2771666536588249,1.2943373304769987,0,3,0,3.7558025764382132,1.2442172060385364,2.511585370399677,1.2673681643611405,2.0186068463048463,0.6655524929452704,0.6655524929452704,0.5,-0.017170676818173858,3.5,2.5,1.2943373304769987,1.2771666536588249,0.017170676818173858,0.013265998294158752,0.9867340017058412,0.6301047242755053,rise_then_depress,5
20250826 plate1 B08,hnry,diploid,corrected_fc,0,1.2952855558551644,1.3834536220220957,0,3,0,4.015366408647221,1.4183735782899145,2.596992830357307,1.1786192520673926,1.8309653183813634,0.852477147882285,0.852477147882285,0.5,-0.08816806616693129,3.5,1.5,1.3834536220220957,1.2952855558551644,0.08816806616693129,0.06373040972494785,0.9362695902750522,0.5995724046631683,rise_then_depress,5
20250826 plate1 C02,hnry,diploid,corrected_fc,0,0.7312323640870858,0.7312323640870858,0,4,0,2.0327430975157514,0.7113670288088488,1.3213760687069025,0.6100090398980537,1.8575166056254893,0.42989372064916703,0.42989372064916703,0.5,0.056945785583408015,3.5,1.5,0.7312323640870858,0.7312323640870858,0,0,1,0.6083917120718738,monotonic_increase,5
20250826 plate1 C03,hnry,triploid,corrected_fc,0,1.1252354135567175,1.1252354135567175,0,4,0,2.716637670603647,0.8341703620590337,1.8824673085446129,1.0482969464855791,2.25669406894055,0.5377188423271391,0.5377188423271391,0.5,0.055184197136650126,1.5,1.5,1.1252354135567175,1.1252354135567175,0,0,1,0.6833604038348963,monotonic_increase,5
20250826 plate1 C04,hnry,diploid,corrected_fc,0,0.4766488663043938,0.4766488663043938,0,4,0,1.4299859790775282,0.5397881439576212,0.8901978351199071,0.35040969116228593,1.649161518430454,0.32899078987897595,0.32899078987897595,0.5,0.019481339731774294,2.5,1.5,0.4766488663043938,0.4766488663043938,0,0,1,0.5824362938719249,monotonic_increase,5
20250826 plate1 C05,hnry,triploid,corrected_fc,0,0.9105168946821292,0.940792668338201,0,3,0,2.895165323425641,1.1512104823221432,1.7439548411034977,0.5927443587813546,1.5148879096251027,0.803306756897911,0.803306756897911,0.5,-0.10749930604944657,1.5,1.5,0.940792668338201,0.9105168946821292,0.030275773656071814,0.03218113265014107,0.9678188673498589,0.5772677887147165,rise_then_depress,5
20250826 plate1 C06,hnry,diploid,corrected_fc,0,0.7230881132829237,0.7656032684960633,0,2,0,2.3616994280244006,0.9075506158988407,1.45414881212556,0.5465981962267192,1.6022784698188617,0.524748981650809,0.524748981650809,0.5,-0.055800147259996824,2.5,2.5,0.7656032684960633,0.7230881132829237,0.042515155213139644,0.05553157485423961,0.9444684251457603,0.5842087210411208,rise_then_depress,5
20250826 plate1 C07,hnry,triploid,corrected_fc,0,1.1376738379947826,1.188349513450698,0,3,0,3.624670848171942,1.3804377219804922,2.2442331261914497,0.8637954042109575,1.6257402202626599,0.8933910282371321,0.8933910282371321,0.5,-0.05067567545591545,3.5,1.5,1.188349513450698,1.1376738379947826,0.05067567545591545,0.04264374654285401,0.957356253457146,0.57688426374342,rise_then_depress,5
