trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate1 E04,0,56.72,45.99,25.17,0.4437588152327222,0.8108251057827928,42.215,28.542,3.219,7.057704965991368,NA,16.92,diploid,1,39.8,1.2096305280457949,3.219,42.215,37.857142857142854
20250826 plate1 F04,0,55.2,43.79,22.69,0.41105072463768116,0.7932971014492753,39.486,26.062,3.302,7.777115613825986,NA,21,diploid,1,34.2,0.9664405155596266,3.302,39.486,32.14285714285714
20250826 plate1 A05,0,67.65,47.32,30.86,0.4561714708056171,0.6994826311899482,69.185,48.064,5.046,13.209601818095734,NA,26.49,triploid,1,41.16000000000001,0.9375800513328189,5.046,69.185,64.70588235294117
20250826 plate1 B05,0,68.39,47.15,27.35,0.3999122678754204,0.6894282789881562,70.851,56.013,3.607,9.071303410163095,NA,26.58,triploid,1,41.81,0.9450675618249054,3.607,70.851,37.254901960784316
20250826 plate1 C05,0,71.62,55.54,25.25,0.3525551521921251,0.7754817090198268,63.403,44.167,3.343,5.864004990642547,NA,27.01,triploid,1,44.61,0.9751671967657625,3.343,63.403,28.431372549019606
20250826 plate1 D05,0,75.64,62.02,29.21,0.3861713379164463,0.8199365415124273,85.052,62.655,3.461,5.165870429075321,NA,30.71,triploid,1,44.93,0.9013969093375258,3.461,85.052,29.411764705882355
20250826 plate1 E05,1,47.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.03,triploid,0,NA,NA,0,0,NA
20250826 plate1 F05,0,64.5,50,27.63,0.4283720930232558,0.7751937984496124,62.07,48.437,3.217,7.291131812513754,NA,31.53,triploid,1,32.97,0.7157257502447573,3.217,62.07,10.784313725490197
20250826 plate1 A06,0,66.65,54.33,27.57,0.41365341335333833,0.8151537884471117,57.547,43.328,4.305,14.361066179056198,NA,24.21,diploid,1,42.440000000000005,1.0126892756747505,4.305,57.547,84.28571428571429
20250826 plate1 B06,0,67.87,53.63,28.93,0.426256077795786,0.7901871224399587,72.92,51.316,4.402,9.729679688946494,NA,22.15,diploid,1,45.720000000000006,1.1197566142245226,4.402,72.92,83.57142857142857
20250826 plate1 C06,0,63.8,52.17,23.69,0.37131661442006275,0.8177115987460816,49.669,36.095,3.167,6.954471784293503,NA,23.33,diploid,1,40.47,1.0060131043174056,3.167,49.669,42.142857142857146
20250826 plate1 D06,0,54.12,47.51,23.8,0.4397634885439764,0.8778640059127865,40.702,28.844,3.002,6.181480856805531,NA,21.16,diploid,1,32.959999999999994,0.9390911963124886,3.002,40.702,11.428571428571429
20250826 plate1 E06,0,59.28,51.72,29.09,0.4907219973009447,0.8724696356275303,49.741,36.764,3.441,9.27795330199584,NA,24.24,diploid,1,35.040000000000006,0.8942678197867179,3.441,49.741,50
20250826 plate1 F06,0,64.66,49.78,25.22,0.390040210330962,0.7698731828023508,48.49,32.656,3.446,7.648099027409374,NA,25.02,diploid,1,39.64,0.9494672672585219,3.446,48.49,42.85714285714286
20250826 plate1 A07,0,79.74,61.25,29.55,0.3705793829947329,0.7681213945322298,94.812,68.193,4.784,9.568353431759268,NA,32.93,triploid,1,46.809999999999995,0.884387245564936,4.784,94.812,59.80392156862745
20250826 plate1 B07,0,70.88,54.09,25.33,0.3573645598194131,0.7631207674943568,72.548,51.98,4.17,9.378646441073508,NA,23.78,triploid,1,47.099999999999994,1.0921434150341895,4.17,72.548,59.80392156862745
20250826 plate1 C07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.59,triploid,NA,NA,NA,NA,NA,NA
20250826 plate1 D07,0,79.25,55.67,30.65,0.38675078864353313,0.7024605678233439,85.076,60.22,5.14,11.610878661087867,NA,31.16,triploid,1,48.09,0.9334721917548424,5.14,85.076,83.33333333333333
20250826 plate1 E07,1,88.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.14,triploid,0,NA,NA,0,0,NA
20250826 plate1 F07,0,56.07,43.23,24.3,0.4333868378812199,0.7710005350454788,56.236,37.433,3.501,6.573419135244375,NA,25.66,triploid,1,30.41,0.7816675509480908,3.501,56.236,7.8431372549019605
20250826 plate1 A08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,diploid,0,NA,NA,0,0,NA
20250826 plate1 B08,0,47.31,37.78,23.29,0.492284929190446,0.79856267173959,30.046,21.777,3.389,13.70177772402951,NA,21.22,diploid,1,26.090000000000003,0.8017775564572197,3.389,30.046,49.28571428571429
20250826 plate1 C08,0,69.18,54.27,25.4,0.36715813819022836,0.7844752818733738,59.828,39.095,3.602,6.607823276901555,NA,23.48,diploid,1,45.7,1.080562808549127,3.602,59.828,51.42857142857142
20250826 plate1 D08,0,62.48,45.25,25.9,0.4145326504481434,0.7242317541613317,45.954,30.189,3.806,9.57183634633682,NA,21.13,diploid,1,41.349999999999994,1.084152673903465,3.806,45.954,71.42857142857143
20250826 plate1 E08,1,49.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,diploid,0,NA,NA,0,0,NA
20250826 plate1 F08,0,62.95,50.58,25.8,0.40984908657664815,0.8034948371723589,47.534,33.469,3.5,8.837539992890154,NA,20.11,diploid,1,42.84,1.1411235567057956,3.5,47.534,67.85714285714286
