index_id,scale,feature,adjustment,absorbed_duplicates,completeness
raw_rfu|value_4h|resid,raw_rfu,value_4h,resid,NA,1
raw_rfu|auc_0_1h|resid,raw_rfu,auc_0_1h,resid,NA,1
raw_rfu|auc_0_2h|resid,raw_rfu,auc_0_2h,resid,NA,1
raw_rfu|auc_0_3h|resid,raw_rfu,auc_0_3h,resid,NA,1
raw_rfu|frac_auc_first_half|resid,raw_rfu,frac_auc_first_half,resid,NA,1
raw_delta|auc_total|resid,raw_delta,auc_total,resid,NA,1
raw_delta|auc_early|resid,raw_delta,auc_early,resid,NA,1
raw_delta|auc_late|resid,raw_delta,auc_late,resid,NA,1
raw_delta|late_early_auc_ratio|resid,raw_delta,late_early_auc_ratio,resid,NA,1
raw_delta|resilience_ratio|resid,raw_delta,resilience_ratio,resid,NA,1
raw_delta|stability_cv|resid,raw_delta,stability_cv,resid,NA,1
raw_delta|value_2h|resid,raw_delta,value_2h,resid,NA,1
raw_delta|value_3h|resid,raw_delta,value_3h,resid,NA,1
raw_delta|value_4h|resid,raw_delta,value_4h,resid,NA,1
raw_delta|auc_0_1h|resid,raw_delta,auc_0_1h,resid,NA,1
raw_delta|auc_0_2h|resid,raw_delta,auc_0_2h,resid,NA,1
raw_delta|auc_0_3h|resid,raw_delta,auc_0_3h,resid,NA,1
raw_delta|frac_auc_first_half|resid,raw_delta,frac_auc_first_half,resid,NA,1
fc_corr|final_value|resid,fc_corr,final_value,resid,NA,1
fc_corr|peak_value|resid,fc_corr,peak_value,resid,NA,1
fc_corr|auc_total|resid,fc_corr,auc_total,resid,NA,1
fc_corr|auc_early|resid,fc_corr,auc_early,resid,NA,1
fc_corr|auc_late|resid,fc_corr,auc_late,resid,NA,1
fc_corr|delta_auc_late_minus_early|resid,fc_corr,delta_auc_late_minus_early,resid,NA,1
fc_corr|late_early_auc_ratio|resid,fc_corr,late_early_auc_ratio,resid,NA,1
fc_corr|initial_slope|resid,fc_corr,initial_slope,resid,NA,1
fc_corr|vmax|resid,fc_corr,vmax,resid,NA,1
fc_corr|min_slope|resid,fc_corr,min_slope,resid,NA,1
fc_corr|depression_abs|resid,fc_corr,depression_abs,resid,NA,1
fc_corr|metabolic_depression_index|resid,fc_corr,metabolic_depression_index,resid,NA,1
fc_corr|resilience_ratio|resid,fc_corr,resilience_ratio,resid,NA,1
fc_corr|stability_cv|resid,fc_corr,stability_cv,resid,NA,1
fc_corr|rate_h2|resid,fc_corr,rate_h2,resid,NA,1
fc_corr|rate_h3|resid,fc_corr,rate_h3,resid,NA,1
fc_corr|rate_h4|resid,fc_corr,rate_h4,resid,NA,1
fc_corr|rate_last_first_ratio|resid,fc_corr,rate_last_first_ratio,resid,NA,1
fc_corr|rate_cv|resid,fc_corr,rate_cv,resid,NA,1
fc_corr|max_drop|resid,fc_corr,max_drop,resid,NA,1
fc_corr|lin_slope|resid,fc_corr,lin_slope,resid,NA,1
fc_corr|lin_r2|resid,fc_corr,lin_r2,resid,NA,1
fc_corr|quad_coef|resid,fc_corr,quad_coef,resid,NA,1
fc_corr|mean_rate|resid,fc_corr,mean_rate,resid,NA,1
fc_corr|sat_asymptote|resid,fc_corr,sat_asymptote,resid,NA,0.975609756097561
fc_corr|sat_k|resid,fc_corr,sat_k,resid,NA,0.975609756097561
fc_corr|sat_r2|resid,fc_corr,sat_r2,resid,NA,0.975609756097561
fc_corr|t_half|resid,fc_corr,t_half,resid,NA,1
fc_corr|value_2h|resid,fc_corr,value_2h,resid,NA,1
fc_corr|value_3h|resid,fc_corr,value_3h,resid,NA,1
