index_id,selection_freq,phenotype,stratum,family,k,scale,feature,adjustment
fc_corr|value_2h|none,0.05,condition_index,diploid,short_assay_2h,8,fc_corr,value_2h,none
raw_delta_mm|value_2h|none,0.03,condition_index,diploid,short_assay_2h,8,raw_delta_mm,value_2h,none
raw_delta_mm|value_2h|resid,0.03,condition_index,diploid,short_assay_2h,8,raw_delta_mm,value_2h,resid
fc_corr|value_2h|resid,0.02,condition_index,diploid,short_assay_2h,8,fc_corr,value_2h,resid
fc_corr_mm|value_2h|resid,0.01,condition_index,diploid,short_assay_2h,8,fc_corr_mm,value_2h,resid
fc_corr|auc_0_2h|none,0.01,condition_index,diploid,short_assay_2h,8,fc_corr,auc_0_2h,none
raw_rfu|auc_0_2h|none,0.01,condition_index,diploid,short_assay_2h,8,raw_rfu,auc_0_2h,none
fc_corr|sat_r2|resid,0.53,condition_index,pooled_adj,all,3,fc_corr,sat_r2,resid
raw_rfu|sat_r2|resid,0.49,condition_index,pooled_adj,all,3,raw_rfu,sat_r2,resid
raw_rfu|quad_coef|none,0.17,condition_index,pooled_adj,all,3,raw_rfu,quad_coef,none
raw_rfu|time_to_peak|none,0.15,condition_index,pooled_adj,all,3,raw_rfu,time_to_peak,none
raw_delta_mm|rate_h3|resid,0.12,condition_index,pooled_adj,all,3,raw_delta_mm,rate_h3,resid
raw_rfu|auc_0_3h|none,0.12,condition_index,pooled_adj,all,3,raw_rfu,auc_0_3h,none
raw_rfu|n_negative_intervals|none,0.12,condition_index,pooled_adj,all,3,raw_rfu,n_negative_intervals,none
fc_corr|sat_r2|none,0.11,condition_index,pooled_adj,all,3,fc_corr,sat_r2,none
fc_corr|late_early_auc_ratio|resid,0.1,condition_index,pooled_adj,all,3,fc_corr,late_early_auc_ratio,resid
raw_rfu|sat_r2|none,0.1,condition_index,pooled_adj,all,3,raw_rfu,sat_r2,none
raw_rfu|baseline_value|none,0.09,condition_index,pooled_adj,all,3,raw_rfu,baseline_value,none
raw_delta_mm|sat_asymptote|resid,0.08,condition_index,pooled_adj,all,3,raw_delta_mm,sat_asymptote,resid
raw_rfu|sat_asymptote|resid,0.07,condition_index,pooled_adj,all,3,raw_rfu,sat_asymptote,resid
fc_corr|depression_abs|resid,0.06,condition_index,pooled_adj,all,3,fc_corr,depression_abs,resid
raw_rfu|rate_h3|resid,0.06,condition_index,pooled_adj,all,3,raw_rfu,rate_h3,resid
raw_rfu|resilience_ratio|resid,0.06,condition_index,pooled_adj,all,3,raw_rfu,resilience_ratio,resid
raw_delta|late_early_auc_ratio|resid,0.05,condition_index,pooled_adj,all,3,raw_delta,late_early_auc_ratio,resid
raw_delta|auc_0_3h|none,0.04,condition_index,pooled_adj,all,3,raw_delta,auc_0_3h,none
raw_rfu|depression_abs|resid,0.04,condition_index,pooled_adj,all,3,raw_rfu,depression_abs,resid
raw_rfu|lin_slope|none,0.04,condition_index,pooled_adj,all,3,raw_rfu,lin_slope,none
fc_corr|stability_cv|resid,0.03,condition_index,pooled_adj,all,3,fc_corr,stability_cv,resid
raw_delta|stability_cv|resid,0.03,condition_index,pooled_adj,all,3,raw_delta,stability_cv,resid
raw_rfu|auc_0_2h|none,0.03,condition_index,pooled_adj,all,3,raw_rfu,auc_0_2h,none
raw_rfu|time_to_peak|resid,0.03,condition_index,pooled_adj,all,3,raw_rfu,time_to_peak,resid
raw_rfu|value_2h|none,0.03,condition_index,pooled_adj,all,3,raw_rfu,value_2h,none
fc_corr_mm|rate_h3|resid,0.02,condition_index,pooled_adj,all,3,fc_corr_mm,rate_h3,resid
raw_delta|frac_auc_first_half|resid,0.02,condition_index,pooled_adj,all,3,raw_delta,frac_auc_first_half,resid
raw_delta|value_2h|none,0.02,condition_index,pooled_adj,all,3,raw_delta,value_2h,none
raw_rfu|delta_auc_late_minus_early|none,0.02,condition_index,pooled_adj,all,3,raw_rfu,delta_auc_late_minus_early,none
fc_corr|frac_auc_first_half|resid,0.01,condition_index,pooled_adj,all,3,fc_corr,frac_auc_first_half,resid
fc_corr|metabolic_depression_index|resid,0.01,condition_index,pooled_adj,all,3,fc_corr,metabolic_depression_index,resid
fc_corr|resilience_ratio|resid,0.01,condition_index,pooled_adj,all,3,fc_corr,resilience_ratio,resid
fc_corr|stability_cv|none,0.01,condition_index,pooled_adj,all,3,fc_corr,stability_cv,none
raw_delta_mm|depression_abs|none,0.01,condition_index,pooled_adj,all,3,raw_delta_mm,depression_abs,none
raw_delta|auc_0_2h|none,0.01,condition_index,pooled_adj,all,3,raw_delta,auc_0_2h,none
raw_delta|late_early_auc_ratio|none,0.01,condition_index,pooled_adj,all,3,raw_delta,late_early_auc_ratio,none
raw_delta|stability_cv|none,0.01,condition_index,pooled_adj,all,3,raw_delta,stability_cv,none
raw_delta|value_3h|none,0.01,condition_index,pooled_adj,all,3,raw_delta,value_3h,none
raw_rfu|auc_total|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,auc_total,none
raw_rfu|inflection_time|resid,0.01,condition_index,pooled_adj,all,3,raw_rfu,inflection_time,resid
raw_rfu|late_early_auc_ratio|resid,0.01,condition_index,pooled_adj,all,3,raw_rfu,late_early_auc_ratio,resid
raw_rfu|metabolic_depression_index|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,metabolic_depression_index,none
raw_rfu|rate_h3|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,rate_h3,none
raw_rfu|time_to_min_slope|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,time_to_min_slope,none
raw_rfu|time_to_vmax|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,time_to_vmax,none
raw_rfu|value_3h|none,0.01,condition_index,pooled_adj,all,3,raw_rfu,value_3h,none
fc_corr|sat_r2|resid,0.64,condition_index,pooled_adj,all,5,fc_corr,sat_r2,resid
raw_rfu|sat_r2|resid,0.64,condition_index,pooled_adj,all,5,raw_rfu,sat_r2,resid
fc_corr|sat_r2|none,0.28,condition_index,pooled_adj,all,5,fc_corr,sat_r2,none
raw_rfu|sat_r2|none,0.26,condition_index,pooled_adj,all,5,raw_rfu,sat_r2,none
raw_delta_mm|rate_h3|resid,0.21,condition_index,pooled_adj,all,5,raw_delta_mm,rate_h3,resid
raw_rfu|time_to_peak|none,0.21,condition_index,pooled_adj,all,5,raw_rfu,time_to_peak,none
raw_delta_mm|sat_asymptote|resid,0.2,condition_index,pooled_adj,all,5,raw_delta_mm,sat_asymptote,resid
raw_rfu|quad_coef|none,0.17,condition_index,pooled_adj,all,5,raw_rfu,quad_coef,none
raw_rfu|rate_h3|resid,0.16,condition_index,pooled_adj,all,5,raw_rfu,rate_h3,resid
raw_rfu|sat_asymptote|resid,0.16,condition_index,pooled_adj,all,5,raw_rfu,sat_asymptote,resid
