phenotype,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
high-salinity,corrected_fc,vmax,25,27,2.634936103489349,1.8394244125345895,0.35399739324360485,2.318475873159294,1.6857141815120515
high-salinity,corrected_fc,vmax,26,25,2.531276267103191,1.3576201177925407,0.27152402355850813,2.498326523428376,1.7421334359522795
high-salinity,corrected_fc,vmax,31,25,1.8301509283801143,1.4756691071522818,0.29513382143045636,1.5450040684476996,2.6359865847161235
high-salinity,corrected_fc,vmax,32,24,2.4384556402600017,1.316169148252803,0.2686619023677428,2.3360394506088293,1.2906562275627915
high-salinity,corrected_fc,vmax,33,28,2.176688697152996,1.8997015581258445,0.3590098491459213,2.0216672461550083,2.019382018085848
high-salinity,corrected_fc,vmax,34,22,1.4896964815109048,0.8503820781965422,0.18130206824747552,1.3132400281524292,0.728462445179219
high-salinity,corrected_fc,vmax,36,26,2.304701533515605,0.7717263898296229,0.15134799695752923,2.3978931157794943,1.171309987870313
high-salinity,corrected_fc,vmax,37,28,2.102223768227661,0.9330088583566115,0.1763221007308487,2.2623864307079598,1.429274521962171
high-salinity,corrected_fc,vmax,38,25,1.853269346721061,1.541059568981244,0.3082119137962488,1.8726236989505205,2.5360482925365937
high-salinity,corrected_fc,vmax,39,24,1.7033794447001154,0.7911594368711309,0.16149474379349588,1.4543232353449564,0.9851341487792551
high-salinity,corrected_fc,vmax,41,26,1.9317954270461877,0.8369288691191801,0.16413525519722466,1.8786239738603683,1.0496821780630872
high-salinity,corrected_fc,vmax,42,23,2.2840490640625446,1.582332003063306,0.32993903046250267,2.374872889719682,1.9456284558709858
high-salinity,corrected_fc,vmax,43,28,1.2914608025444843,0.8352177997728967,0.15784132776954457,1.2137139569474837,1.0729530569104306
high-salinity,corrected_fc,vmax,5,25,2.4405596886421996,0.8627605768657012,0.17255211537314025,2.3255216183415053,1.337784250005574
high-salinity,corrected_fc,vmax,6,26,1.5211803973843334,0.9277711431149783,0.18195089088044458,1.380075049226852,1.0541002745591308
high-salinity,corrected_fc,vmax,7,24,2.0249992726443042,1.0521223791595407,0.2147635813253274,1.6697814079676,1.3389859247998273
low-salinity,corrected_fc,auc_early,47,27,3.4663687487668815,1.9210175317202425,0.3696999963522241,3.3509240864582788,2.9851534076287543
low-salinity,corrected_fc,auc_early,48,23,3.396063734672049,2.8719920041462528,0.5988517299211598,2.5672745043722425,3.234285022048784
low-salinity,corrected_fc,auc_early,49,27,2.5997513305779445,1.6426232207713796,0.3161229862298287,2.548334105284351,2.4716871835471705
low-salinity,corrected_fc,auc_early,50,27,1.6599625475291877,1.4364663815548793,0.27644808402418575,1.376351514285378,1.5905979493711966
low-salinity,corrected_fc,auc_early,51,28,2.1075159693561103,1.4014230292531737,0.2648440583573353,1.6967741701923917,2.2289513444042455
low-salinity,corrected_fc,auc_early,54,16,3.412499449062744,2.6373941553546207,0.6593485388386552,2.5573320628888014,4.424107878968267
low-salinity,corrected_fc,auc_early,55,23,1.8115462468656478,1.2813442118037834,0.26717873752969024,1.2276222118985687,1.5788937567700996
low-salinity,corrected_fc,auc_early,57,26,1.699698912171176,1.3874728062361719,0.2721058043683685,1.0885067839958236,2.0664522994531254
low-salinity,corrected_fc,auc_early,60,27,1.986862593111424,1.7949605971302252,0.3454403279793023,1.5349297870138663,3.072521640272328
low-salinity,corrected_fc,auc_early,61,27,1.968791932843285,1.5505653607956755,0.29840644281716416,1.5926935278492835,1.9490288100184232
low-salinity,corrected_fc,auc_early,70,27,1.8949954695547413,1.5113563495183273,0.2908606650786188,1.6666297536305752,1.666913398894656
low-salinity,corrected_fc,auc_early,71,25,2.9154792577934594,1.9477851166008366,0.38955702332016734,2.5300834990537155,3.1621957961733704
low-salinity,corrected_fc,auc_early,72,26,2.332284212285007,1.5007302535572984,0.29431741721260435,2.0128790367908196,2.2191297206969303
low-salinity,corrected_fc,auc_early,74,26,2.71715621965141,1.9892133367110165,0.3901168315610957,2.5572676900030515,3.374491415344284
low-salinity,corrected_fc,auc_early,76,24,3.388512675981845,2.195594778138662,0.44817390736324675,3.4222690898737365,3.7594743118358824
low-salinity,corrected_fc,auc_early,77,24,2.700250849295991,1.6789563364627025,0.3427155270621844,2.236122141818394,2.4959696610978517
low-salinity,corrected_fc,auc_early,78,17,5.492886777757301,1.689471324201173,0.40975698359609264,5.065463506881032,2.1264878688831983
low-salinity,corrected_fc,auc_early,79,31,2.4478441445139314,1.8560944695862078,0.33336440780025745,1.9351783646750484,3.1366986509401924
low-salinity,corrected_fc,auc_early,80,27,2.832424075481959,2.146183320683244,0.413033172642252,3.249266457300555,4.04000993393904
low-salinity,corrected_fc,auc_early,82,21,1.983637347682386,1.9223218438558627,0.41948501712078917,1.4637115939039431,1.5899938892311196
low-salinity,corrected_fc,auc_early,83,26,1.7045613745397543,1.9972555919318027,0.3916940475727912,0.5631194867848,2.9720138231899864
low-salinity,corrected_fc,auc_early,84,25,1.8984524259047204,1.4903757370590303,0.2980751474118061,1.4897602972285022,2.5478791647933448
low-salinity,corrected_fc,auc_early,85,24,1.3831460613173256,1.2256975196857491,0.2501944585187521,1.0232834509171962,1.6702652266984876
low-salinity,corrected_fc,auc_early,88,20,3.586984436533425,1.7685916628351865,0.39546911825388653,3.7964504965456234,1.9230336502386614
low-salinity,corrected_fc,auc_early,90,23,2.070821078441397,1.8832404406907108,0.39268277701921084,1.5557704793194818,3.109489077114378
low-salinity,corrected_fc,auc_late,47,27,7.4406285145866216,3.338454160808369,0.6424858028066459,7.729335955780013,4.51541631491102
low-salinity,corrected_fc,auc_late,48,23,9.914645638518785,3.667308646508534,0.764686713593171,10.49250062714233,5.923779419489199
low-salinity,corrected_fc,auc_late,49,27,8.300620741677498,3.505976582872414,0.6747255079646375,8.44515023776744,6.088761934125129
low-salinity,corrected_fc,auc_late,50,27,5.730868509297164,2.785533910460187,0.5360762510136733,5.18096897356893,2.812452981745923
low-salinity,corrected_fc,auc_late,51,28,5.827222911430419,2.9389581815365817,0.5554108901403154,5.84765075439288,3.0073821838309946
low-salinity,corrected_fc,auc_late,54,16,10.420130359364638,3.3066922755332815,0.8266730688833204,10.091871472797132,2.4204989820714466
low-salinity,corrected_fc,auc_late,55,23,5.168013203897157,2.586811782400627,0.5393875430832039,4.247995607962652,2.943509463909992
low-salinity,corrected_fc,auc_late,57,26,5.220511571856842,3.84410485442755,0.7538909871162627,4.002091113669663,4.257772187144426
low-salinity,corrected_fc,auc_late,60,27,5.1752177390234655,3.3915513071170555,0.652704353378153,5.228183481125145,6.8097614984614445
low-salinity,corrected_fc,auc_late,61,27,5.288167433832491,2.9650878945448964,0.5706314313621322,4.8540441010622475,2.58479500866928
low-salinity,corrected_fc,auc_late,70,27,4.718666736075905,3.3503933147436937,0.644783494052798,3.8296186800292293,2.8650732242740564
low-salinity,corrected_fc,auc_late,71,25,6.292605825008122,2.8275902516365563,0.5655180503273113,5.511605931358353,4.68709972920559
low-salinity,corrected_fc,auc_late,72,26,6.92250430912219,3.292883654011739,0.6457876156844835,6.977040397712333,4.397639191878039
low-salinity,corrected_fc,auc_late,74,26,5.701364483778425,3.6114561651672665,0.7082648253335716,6.053569513119085,5.049770556292552
low-salinity,corrected_fc,auc_late,76,24,7.696148672465584,3.610363716673003,0.7369624076422562,8.205695542793926,4.890038543633764
low-salinity,corrected_fc,auc_late,77,24,8.907853868483555,4.088164713573641,0.8344931277255636,8.45269524064065,5.282250192910808
low-salinity,corrected_fc,auc_late,78,17,11.980435939793798,2.8382524148083483,0.6883773234364242,12.225236563545181,2.2187439484857414
low-salinity,corrected_fc,auc_late,79,31,5.842577551833259,2.9429994989922137,0.5285783138811438,5.724265414465373,3.651333496233557
low-salinity,corrected_fc,auc_late,80,27,5.458497793924561,3.9403381261968966,0.7583184259526412,5.525377979994202,5.955383127092913
low-salinity,corrected_fc,auc_late,82,21,8.198193344797415,4.577340280867801,0.9988575389831965,8.91260397075824,6.262475060494362
low-salinity,corrected_fc,auc_late,83,26,5.727387662716209,5.199157735901536,1.0196387211388005,4.582926289684389,9.576667760848133
low-salinity,corrected_fc,auc_late,84,25,5.449406293969662,3.7204216355539637,0.7440843271107928,4.917866466550785,4.76822516352996
low-salinity,corrected_fc,auc_late,85,24,5.512757522623466,4.263372914281821,0.8702573519327457,4.465992532659147,7.492195811993221
low-salinity,corrected_fc,auc_late,88,20,8.034547506587643,3.6497267679162304,0.8161037152361289,7.482577417090287,4.028476241491216
low-salinity,corrected_fc,auc_late,90,23,6.859563434214069,4.152068047707092,0.8657660360927468,6.783268495749618,7.049725526391475
low-salinity,corrected_fc,auc_total,47,27,10.906997263353503,4.996945637763755,0.9616626363629434,11.512662998466169,8.017211664108169
low-salinity,corrected_fc,auc_total,48,23,13.310709373190832,5.822130538811294,1.213998137864038,13.261920447357308,8.83451642461852
low-salinity,corrected_fc,auc_total,49,27,10.900372072255442,4.4473119193696435,0.8558855779394317,11.850818927363985,6.288868892626923
low-salinity,corrected_fc,auc_total,50,27,7.390831056826351,3.856551844528192,0.7421937485273664,6.961975042048704,4.495621179694918
low-salinity,corrected_fc,auc_total,51,28,7.934738880786529,4.055293900353653,0.766378510972351,7.306505427872432,3.8297032956928163
low-salinity,corrected_fc,auc_total,54,16,13.832629808427383,5.6576126886097855,1.4144031721524464,12.227032683697377,6.185542533922048
low-salinity,corrected_fc,auc_total,55,23,6.979559450762805,3.484334425046565,0.7265339510174791,6.015218043971246,5.049028500353697
low-salinity,corrected_fc,auc_total,57,26,6.920210484028018,4.970940426408605,0.9748816244294122,5.378028495971144,5.857868627304661
low-salinity,corrected_fc,auc_total,60,27,7.16208033213489,4.753280556588861,0.9147692696267977,8.513769217757567,7.723053380778571
low-salinity,corrected_fc,auc_total,61,27,7.256959366675776,4.079781289996562,0.7851542753381047,6.093449009227241,5.1487911080199975
low-salinity,corrected_fc,auc_total,70,27,6.613662205630646,4.675981887479602,0.8998931338207208,5.941352664995012,4.302997930996263
low-salinity,corrected_fc,auc_total,71,25,9.208085082801581,4.533311796903223,0.9066623593806445,7.988998255106064,7.528709838653709
low-salinity,corrected_fc,auc_total,72,26,9.254788521407198,4.236843670228866,0.8309134057899639,9.010678934979278,3.837408294207286
low-salinity,corrected_fc,auc_total,74,26,8.418520703429836,5.455039035974568,1.0698211727632576,9.305420128082286,8.137945200181893
low-salinity,corrected_fc,auc_total,76,24,11.08466134844743,5.444764317270924,1.1114078622522487,11.598586553004836,8.63826882626148
low-salinity,corrected_fc,auc_total,77,24,11.608104717779547,5.331243961864463,1.0882356167384797,10.560405186108405,7.378574728415
low-salinity,corrected_fc,auc_total,78,17,17.4733227175511,4.149142042593247,1.0063147586648804,17.37967905570888,2.8561779077638754
low-salinity,corrected_fc,auc_total,79,31,8.29042169634719,4.6135903898975865,0.8286252954053822,8.02304558292647,7.16469669265393
low-salinity,corrected_fc,auc_total,80,27,8.290921869406521,5.919118895181163,1.139134962499415,8.978297173131503,10.149304981384242
low-salinity,corrected_fc,auc_total,82,21,10.181830692479801,6.237306064730878,1.3610917702017324,10.66218428687268,7.810939736159206
low-salinity,corrected_fc,auc_total,83,26,7.431949037255963,6.849145023343063,1.3432278509789688,5.418998145566153,13.059063842556204
low-salinity,corrected_fc,auc_total,84,25,7.347858719874382,4.977147497632107,0.9954294995264213,5.986573296538945,7.131204239660766
low-salinity,corrected_fc,auc_total,85,24,6.895903583940792,5.2579515862304556,1.0732748732101702,6.333267253604877,9.591013650304612
low-salinity,corrected_fc,auc_total,88,20,11.621531943121067,5.309863470252238,1.1873215670726935,11.19860137411213,5.065326576173289
low-salinity,corrected_fc,auc_total,90,23,8.930384512655467,5.736411177663748,1.1961244155010107,8.3390389750691,9.767288365028117
